,Adjective,Adj_Type,Count,PP,NMod,Bare_in_PP_Sing,Bare_in_PP_Pl,Bare_in_NP_Sing,Bare_in_NP_Pl,PP_in_NP,PP_in_VP,PP_in_AP,PP_Percent,Prep_Entropies,HW_Entropies,PP_HW_Entropies
54,constitutional,Relational,2996,1445,0.03638184245660881,0.3771626297577855,0.2477508650519031,0.3354472630173565,0.23598130841121495,0.6262975778546713,0.29204152249134946,0.03667820069204152,0.4823097463284379,1.7917557167080005,4.705965357232499,5.9369799025001235
55,residential,Relational,2944,1664,0.058423913043478264,0.40024038461538464,0.34134615384615385,0.41372282608695654,0.30197010869565216,0.5396634615384616,0.37439903846153844,0.03064903846153846,0.5652173913043478,1.7620596506630293,3.591492041649465,5.719382157450577
56,theoretical,Relational,2954,1267,0.012863913337846988,0.27308602999210735,0.31018153117600633,0.25220040622884227,0.2576167907921462,0.47987371744277824,0.3749013417521705,0.06156274664561957,0.42890995260663506,1.6235904291798455,5.21763841774845,5.739259092448698
57,clinical,Relational,3004,1401,0.05892143808255659,0.4282655246252677,0.30977872947894364,0.40246338215712385,0.28195739014647137,0.5082084225553176,0.38900785153461814,0.04568165596002855,0.4663781624500666,1.6979230107841659,5.082497502300651,5.756353360962666
58,monetary,Relational,2592,1098,0.08410493827160494,0.5109289617486339,0.16757741347905283,0.42052469135802467,0.12345679012345678,0.6903460837887068,0.2540983606557377,0.023679417122040074,0.4236111111111111,1.679870948080713,3.3165098292767103,5.727318322606282
59,structural,Relational,2739,1092,0.058415480102227094,0.3342490842490842,0.3553113553113553,0.32603139832055494,0.31288791529755383,0.5595238095238095,0.32875457875457875,0.040293040293040296,0.39868565169769987,1.4693373429670162,4.811397621153951,5.622997210712541
60,psychological,Relational,2777,1018,0.023046453006841917,0.3555992141453831,0.32220039292730845,0.2711559236586244,0.2502700756211739,0.5029469548133595,0.3762278978388998,0.03929273084479371,0.3665826431400792,1.461183098284262,5.248476222658419,5.685465624603726
61,classic,Relational,2606,863,0.06868764389869532,0.2931633835457706,0.18076477404403243,0.3219493476592479,0.14773599386032232,0.4183082271147161,0.44727694090382386,0.04171494785631518,0.33115886415963164,1.6880739316008218,5.454792809484411,5.623516475863262
62,intellectual,Relational,2844,1138,0.0720815752461322,0.4797891036906854,0.1766256590509666,0.4212376933895921,0.14240506329113925,0.546572934973638,0.3312829525483304,0.0632688927943761,0.40014064697609003,1.3105094986492651,5.399390559922534,5.759047568080405
63,medieval,Relational,2398,1402,0.03419516263552961,0.32168330955777463,0.28815977175463625,0.3010842368640534,0.25771476230191825,0.5406562054208274,0.34165477888730383,0.0456490727532097,0.5846538782318599,1.3416824617733716,5.503466926320925,6.144758958436835
